trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type
4516691,600,1/1/2016 0:04,1/1/2016 0:14,3046,39.95012,-75.14472,3041,39.96849,-75.13546,3564,30,One Way,30
4516692,1320,1/1/2016 0:07,1/1/2016 0:29,3028,39.94061,-75.14958,3019,39.95403,-75.14983,2629,30,One Way,30
4516693,780,1/1/2016 0:14,1/1/2016 0:27,3007,39.94517,-75.15993,3066,39.94561,-75.17348,3430,30,One Way,30
4516694,1320,1/1/2016 0:20,1/1/2016 0:42,3005,39.94733,-75.14403,3064,39.9384,-75.17327,3351,0,One Way,Walk-up
4516695,600,1/1/2016 0:20,1/1/2016 0:30,3045,39.94792,-75.16237,3028,39.94061,-75.14958,3715,30,One Way,30
4516696,1260,1/1/2016 0:21,1/1/2016 0:42,3005,39.94733,-75.14403,3064,39.9384,-75.17327,3355,0,One Way,Walk-up
4516697,840,1/1/2016 0:26,1/1/2016 0:40,3005,39.94733,-75.14403,3013,39.96317,-75.14792,2636,0,One Way,Walk-up
4516698,1500,1/1/2016 0:26,1/1/2016 0:51,3046,39.95012,-75.14472,3061,39.95425,-75.17761,3720,0,One Way,Walk-up
4516699,1320,1/1/2016 0:27,1/1/2016 0:49,3046,39.95012,-75.14472,3061,39.95425,-75.17761,3344,0,One Way,Walk-up
4516700,1260,1/1/2016 0:28,1/1/2016 0:49,3046,39.95012,-75.14472,3061,39.95425,-75.17761,2497,0,One Way,Walk-up
4516701,840,1/1/2016 0:32,1/1/2016 0:46,3086,39.94019,-75.16691,3066,39.94561,-75.17348,3661,30,One Way,30
4516702,840,1/1/2016 0:32,1/1/2016 0:46,3086,39.94019,-75.16691,3066,39.94561,-75.17348,2571,30,One Way,30
4516703,840,1/1/2016 0:34,1/1/2016 0:48,3015,39.94759,-75.1487,3063,39.94633,-75.1698,3434,30,One Way,30
4516704,2520,1/1/2016 0:37,1/1/2016 1:19,3023,39.95048,-75.17286,3026,39.94138,-75.14564,3725,30,One Way,30
4516705,840,1/1/2016 0:39,1/1/2016 0:53,3041,39.96849,-75.13546,3039,39.97121,-75.1597,3287,30,One Way,30
4516706,1860,1/1/2016 0:41,1/1/2016 1:12,3072,39.93445,-75.14541,3051,39.96744,-75.17507,3578,0,One Way,Walk-up
4516707,36000,1/1/2016 0:42,1/1/2016 10:42,3047,39.95071,-75.14921,3077,39.97207,-75.16351,2520,30,One Way,30
4516708,1500,1/1/2016 0:43,1/1/2016 1:08,3047,39.95071,-75.14921,3056,39.97669,-75.15813,2645,30,One Way,30
4516709,1020,1/1/2016 0:44,1/1/2016 1:01,3010,39.94711,-75.16618,3069,39.93704,-75.15038,3456,30,One Way,30
4516710,600,1/1/2016 0:46,1/1/2016 0:56,3050,39.95339,-75.15426,3037,39.95424,-75.16138,2554,0,One Way,Walk-up
4516711,540,1/1/2016 0:47,1/1/2016 0:56,3050,39.95339,-75.15426,3037,39.95424,-75.16138,2664,0,One Way,Walk-up
4516712,1020,1/1/2016 0:49,1/1/2016 1:06,3018,39.95273,-75.15979,3058,39.96716,-75.17001,3426,30,One Way,30
4516713,960,1/1/2016 0:50,1/1/2016 1:06,3018,39.95273,-75.15979,3058,39.96716,-75.17001,2509,0,One Way,Walk-up
4516714,1020,1/1/2016 0:52,1/1/2016 1:09,3046,39.95012,-75.14472,3045,39.94792,-75.16237,2587,0,One Way,Walk-up
4516715,240,1/1/2016 0:52,1/1/2016 0:56,3055,39.95112,-75.15457,3046,39.95012,-75.14472,2474,30,One Way,30
4516716,360,1/1/2016 0:58,1/1/2016 1:04,3028,39.94061,-75.14958,3025,39.93724,-75.1612,3715,30,One Way,30
4516717,120,1/1/2016 1:01,1/1/2016 1:03,3034,39.93315,-75.16248,3025,39.93724,-75.1612,3627,30,One Way,30
4516718,300,1/1/2016 1:02,1/1/2016 1:07,3033,39.95005,-75.15672,3037,39.95424,-75.16138,2702,30,One Way,30
4516719,420,1/1/2016 1:05,1/1/2016 1:12,3066,39.94561,-75.17348,3068,39.93549,-75.16711,3732,0,One Way,Walk-up
4516720,1980,1/1/2016 1:13,1/1/2016 1:46,3028,39.94061,-75.14958,3006,39.9522,-75.20311,3618,365,One Way,IndegoFlex
4516721,360,1/1/2016 1:14,1/1/2016 1:20,3075,39.96718,-75.16125,3051,39.96744,-75.17507,3660,0,One Way,Walk-up
4516722,1020,1/1/2016 1:14,1/1/2016 1:31,3030,39.93935,-75.15716,3021,39.9539,-75.16902,2694,30,One Way,30
4516723,360,1/1/2016 1:14,1/1/2016 1:20,3075,39.96718,-75.16125,3051,39.96744,-75.17507,3724,0,One Way,Walk-up
